parameter_name,Lean mass
analysis_id,6eqsk983l771jpn
gene_accession_id,MGI:1921802
pvalue,0.9935546
gene_symbol,Nipal3
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_003_001
mouse_strain,129SV
