analysis_id,fg5582f4c7s35tr
gene_symbol,Kif24
mouse_life_stage,Early adult
parameter_name,Thoracic processes
gene_accession_id,MGI:1918345
mouse_strain,C57BL
parameter_id,IMPC_XRY_064_001
pvalue,0.7657733
