parameter_id,ESLIM_014_001_008
gene_symbol,Pld1
pvalue,0.3820904
parameter_name,Cornea vascularisation
mouse_strain,C57BL
analysis_id,09c90f7plksm675
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
