parameter_id,CCP_LFO_001_001
parameter_name,Weight
gene_accession_id,MGI:1913396
gene_symbol,Maco1
analysis_id,sbggh65rf115jpp
pvalue,0.6978357
mouse_strain,C57BL
mouse_life_stage,Early adult
