analysis_id,ob0w466l34255p1
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
pvalue,0.9325537
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
