gene_symbol,Cntfr
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,bcez8445e7s9246
pvalue,0.7914532
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:99605
parameter_name,Lumbar processes
