analysis_id,1e5b3b690k8j80w
parameter_id,IMPC_CSD_011_001
parameter_name,Coat - hair distribution - back
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8973271
gene_symbol,Inpp1
