analysis_id,yssmfdq69obk5xe
gene_symbol,Mapkap1
pvalue,0.1093387
parameter_name,Eosinophil number
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_id,MGP_PBI_040_001
