analysis_id,61kd8skn05di074
mouse_strain,C57BL
parameter_name,Distance travelled - total
gene_symbol,Kdm5b
mouse_life_stage,Early adult
pvalue,0.3295225
parameter_id,JAXLA_OFD_020_001
gene_accession_id,MGI:1922855
