gene_symbol,Nipal3
analysis_id,1y1pnn09bcj46kl
mouse_strain,129SV
parameter_id,MGP_IMM_089_001
pvalue,0.5017251
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1921802
