analysis_id,kc10qkf07b1iv68
parameter_id,ESLIM_004_001_701
pvalue,0.2968272
gene_symbol,Ola1
mouse_life_stage,E18.5
parameter_name,Glucose response AUC
gene_accession_id,MGI:1914309
mouse_strain,C57BL
