gene_symbol,Inpp1
analysis_id,637f428y80yis88
parameter_name,Skull shape
pvalue,0.5689766
mouse_life_stage,Early adult
parameter_id,CCP_XRY_001_001
mouse_strain,C57BL
gene_accession_id,MGI:104848
