parameter_name,HRV
analysis_id,mf4o5zm1d61120u
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.2080281
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
