gene_symbol,Bpifa3
mouse_strain,C57BL
parameter_name,Vibrissae - appearance
pvalue,0.2680764
parameter_id,HMGULA_DYS_024_001
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
analysis_id,2z9j9h95v700o25
