analysis_id,gwv5fo9m9sl6ceg
parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
mouse_strain,C57BL
pvalue,0.1250077
