gene_symbol,Snap23
mouse_strain,C57BL
parameter_id,IMPC_IMM_025_001
mouse_life_stage,Early adult
pvalue,0.8908647
analysis_id,5tk0z2304n68xzf
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:109356
