gene_symbol,Dmap1
parameter_name,B1B Cells
pvalue,0.2494121
parameter_id,IMPC_IMM_064_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
analysis_id,l49u81293j992nv
mouse_strain,C57BL
