analysis_id,481x832d689lp9k
parameter_name,Gait
mouse_strain,C57BL
pvalue,0.3223848
gene_accession_id,MGI:1309468
parameter_id,IMPC_CSD_033_001
mouse_life_stage,Early adult
gene_symbol,Casq1
