gene_symbol,Casq1
gene_accession_id,MGI:1309468
mouse_strain,C57BL
parameter_id,IMPC_FEA_106_001
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
pvalue,0.7409503
analysis_id,sn0d79419ee9320
mouse_life_stage,Early adult
