gene_symbol,Dmap1
pvalue,0.1799889
parameter_name,Eosinophil percentage
gene_accession_id,MGI:1913483
mouse_strain,C57BL
mouse_life_stage,E9.5
analysis_id,78088h19oyfd24u
parameter_id,MGP_PBI_020_001
