gene_symbol,Arpc2
analysis_id,989563cf2m76uuv
pvalue,0.1351993
gene_accession_id,MGI:1923959
mouse_strain,129SV
parameter_id,ESLIM_016_001_002
parameter_name,Red blood cell count
mouse_life_stage,Early adult
