pvalue,0.3620651
gene_accession_id,MGI:1913105
parameter_name,Number of rears - total
parameter_id,IMPC_OFD_021_001
mouse_strain,C57BL
analysis_id,j0dit5f6bzbez7o
gene_symbol,Slc28a2
mouse_life_stage,Early adult
