analysis_id,0280m4n350771y4
mouse_strain,C57BL
parameter_name,Plasmacytoid DC - % of DC
parameter_id,MGP_MLN_058_001
gene_accession_id,MGI:1341628
gene_symbol,Atrn
pvalue,0.1995431
mouse_life_stage,Early adult
