parameter_name,Ulna
analysis_id,912d5b2p61ge8np
gene_accession_id,MGI:2444554
pvalue,0.6237415
gene_symbol,Mapkap1
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,IMPC_XRY_023_001
