parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
pvalue,0.6389885
gene_symbol,Snap23
mouse_strain,C57BL
analysis_id,769hxbf551jc482
