analysis_id,22bx393u7e675hx
mouse_strain,C57BL
parameter_id,IMPC_FEA_003_001
gene_accession_id,MGI:1914309
gene_symbol,Ola1
pvalue,0.1723452
mouse_life_stage,Early adult
parameter_name,Conditioning Baseline % Freezing Time
