parameter_id,JAX_OFD_010_001
mouse_strain,C57BL
analysis_id,79u26y9g961ggh5
pvalue,0.05218768
gene_symbol,Gfi1b
parameter_name,Periphery distance travelled
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
