gene_symbol,Ttc39b
analysis_id,64eqk298o942588
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_002_001
parameter_name,Click-evoked ABR threshold
pvalue,0.2537386
gene_accession_id,MGI:1917113
