parameter_id,IMPC_HEM_030_001
pvalue,0.09810176
gene_symbol,Car13
mouse_strain,C57BL
analysis_id,q6otlih0ge32sw8
parameter_name,Neutrophil cell count
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
