analysis_id,8j769j56qolk46h
parameter_id,MGP_IMM_017_001
mouse_life_stage,Late adult
gene_symbol,Snap23
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.06677797
gene_accession_id,MGI:109356
mouse_strain,C57BL
