gene_symbol,Ssr2
mouse_strain,C57BL
gene_accession_id,MGI:1913506
parameter_id,MGP_IMM_017_001
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
pvalue,0.6789295
mouse_life_stage,Early adult
analysis_id,4i495p66a5l9239
