parameter_name,Edema
parameter_id,IMPC_GEO_064_001
pvalue,0.3556213
analysis_id,796p36147964c20
gene_accession_id,MGI:1339969
gene_symbol,Gja10
mouse_life_stage,Early adult
mouse_strain,C57BL
