parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
mouse_strain,C57BL
analysis_id,58um1bkv3n085sk
gene_symbol,Gja10
gene_accession_id,MGI:1339969
pvalue,0.2847078
mouse_life_stage,Early adult
