parameter_name,Limb morphology
gene_accession_id,MGI:1914071
analysis_id,lgxo5p4jws2fekm
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.1053651
parameter_id,IMPC_GEP_084_001
gene_symbol,Bcs1l
