gene_symbol,Galk2
parameter_name,center - resting time
analysis_id,7dn2o07086gnnvq
mouse_life_stage,Early adult
pvalue,0.7918347
mouse_strain,C57BL
gene_accession_id,MGI:1917226
parameter_id,M-G-P_007_001_011
