gene_symbol,Opn3
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
analysis_id,w952j0o391m8h15
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.4560374
mouse_strain,C57BL
parameter_id,MGP_IMM_014_001
