analysis_id,ovhhcvv7k23x61w
mouse_life_stage,Early adult
pvalue,0.1745404
gene_symbol,Cds2
mouse_strain,129SV
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:1332236
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
