analysis_id,i2912ql149mu24w
pvalue,0.7092535
parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Wars2
gene_accession_id,MGI:1917810
