parameter_id,JAX_ROT_002_001
gene_symbol,Pld1
pvalue,0.3060502
gene_accession_id,MGI:109585
parameter_name,Average duration
mouse_strain,C57BL
analysis_id,nhv9yk30qpu2xau
mouse_life_stage,Early adult
