parameter_name,Blood Vessel Morphology
gene_symbol,Fgb
parameter_id,IMPC_GEO_011_001
mouse_strain,C57BL
pvalue,0.1907752
gene_accession_id,MGI:99501
analysis_id,0rz5m9je4pmd698
mouse_life_stage,E12.5
