parameter_name,Glucose
gene_accession_id,MGI:1922082
analysis_id,109n4476ra88fbu
gene_symbol,Slc45a3
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_018_001
pvalue,0.4482488
mouse_strain,C57BL
