analysis_id,j415r484wqo5tt5
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
pvalue,0.2241336
mouse_life_stage,E9.5
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:1913483
