analysis_id,z041if24829o520
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:2446274
parameter_id,MGP_IMM_079_001
pvalue,0.9165338
gene_symbol,Frmpd1
mouse_life_stage,Early adult
