parameter_name,Lean mass
pvalue,0.2705066
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
parameter_id,JAXLA_DXA_003_001
gene_symbol,Clvs1
analysis_id,h0i39y55rs642p7
mouse_strain,C57BL
