analysis_id,813a0d42074pg7v
parameter_id,MGP_MLN_009_001
gene_accession_id,MGI:3046938
gene_symbol,Hrnr
parameter_name,Effector Treg cells - % of Treg
pvalue,0.8457597
mouse_life_stage,Early adult
mouse_strain,C57BL
