gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
parameter_name,Red blood cell count
mouse_strain,C57BL
pvalue,0.2430787
parameter_id,IMPC_HEM_002_001
mouse_life_stage,Early adult
analysis_id,8fz1585939c6qq2
