gene_symbol,Ivd
mouse_strain,C57BL
parameter_id,JAXLA_DXA_003_001
pvalue,0.5263766
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
parameter_name,Lean mass
analysis_id,g08sxuy01046l24
