analysis_id,76w1384o892xj47
parameter_id,MGP_CSD_067_001
pvalue,0.482122
mouse_life_stage,Early adult
gene_accession_id,MGI:1915087
parameter_name,Snout size
mouse_strain,C57BL
gene_symbol,Tiprl
