analysis_id,56h66vx9dw36zkx
parameter_name,Forelimb grip strength measurement mean
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,HMGULA_GRS_008_001
gene_accession_id,MGI:2441730
pvalue,0.789693
gene_symbol,Tbl1xr1
