analysis_id,5qv8t65r1186wq9
mouse_life_stage,E9.5
parameter_name,Aggression
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:1914071
pvalue,0.9562545
