gene_symbol,Clvs1
analysis_id,l120w5qae91irvx
parameter_id,MGP_IMM_121_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Macrophages - % of CD45+
pvalue,0.402645
gene_accession_id,MGI:1921688
