parameter_id,IMPC_CSD_016_001
pvalue,0.6555779
analysis_id,f7od95do3tfx744
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
mouse_strain,C57BL
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
