gene_symbol,Fpgs
gene_accession_id,MGI:95576
mouse_strain,C57BL
pvalue,0.7985916
analysis_id,6lvh294f22539ev
parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
