Gene_symbol,Dnajc5b
Gene_accession_id,MGI:1913576
Mouse_strain,C57BL
Parameter_id,IMPC_GEO_009_002
Mouse_life_stage,Early adult
Parameter_name,Hemorrhage
Analysis_id,jfel8157698hxf7
pvalue,0.7975656
