parameter_name,Glucose response AUC
analysis_id,121otd3ij367pwn
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
pvalue,0.2521653
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
