parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
gene_symbol,Slc28a2
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
analysis_id,06j4o4p54py7897
pvalue,0.3109377
gene_accession_id,MGI:1913105
