mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.5778638
gene_symbol,Ints7
parameter_id,IMPC_CSD_078_001
analysis_id,5859j08s9850397
gene_accession_id,MGI:1924315
parameter_name,Vocalization
