analysis_id,9w2x1365w4l464k
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
mouse_strain,C57BL
gene_symbol,Ntmt2
pvalue,0.4430597
parameter_name,Follicular B Cells (CD21/35+)
parameter_id,IMPC_IMM_067_001
