parameter_name,Corneal vascularization
gene_symbol,Ahctf1
parameter_id,IMPC_EYE_009_001
pvalue,0.3129541
gene_accession_id,MGI:1915033
analysis_id,788intjbkzhuh17
mouse_strain,C57BL
mouse_life_stage,Early adult
