analysis_id,26763w8wylw64qs
mouse_strain,C57BL
pvalue,0.3194474
gene_accession_id,MGI:1924360
parameter_id,M-G-P_014_001_010
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
parameter_name,lens opacity
