parameter_id,MGP_PBI_027_001
mouse_life_stage,Early adult
parameter_name,NK cell number
pvalue,0.1421757
analysis_id,o96c314km7d49w1
gene_symbol,Ssr2
gene_accession_id,MGI:1913506
mouse_strain,C57BL
