analysis_id,86k1v733o2z8p3g
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
parameter_name,Hemoglobin
pvalue,4.378132e-08
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
