gene_symbol,Bmp7
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
parameter_name,B2B Cells
analysis_id,4smqp7197z46849
pvalue,0.6190798
gene_accession_id,MGI:103302
mouse_strain,C57BL
