analysis_id,5qi66y33m7z1cd1
gene_accession_id,MGI:2446274
mouse_strain,C57BL
gene_symbol,Frmpd1
mouse_life_stage,Late adult
pvalue,0.9842628
parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
